iter	RMSE
777	13387.13711
778	13372.02115
779	13357.49651
780	13336.1816
781	13327.90869
782	13311.01771
783	13291.93143
784	13286.23792
785	13277.67894
786	13266.21276
787	13251.84576
788	13233.27686
789	13215.50812
790	13194.87135
791	13183.7875
792	13169.27642
793	13151.40265
794	13129.65417
795	13116.11009
796	13110.52462
797	13100.42744
798	13085.22978
799	13078.43795
800	13072.64477
801	13058.35904
802	13045.82663
803	13034.72251
804	13030.23372
805	13015.43374
806	12994.35201
807	12983.01657
808	12966.07799
809	12955.18866
810	12934.42451
811	12928.06511
812	12912.84574
813	12892.61067
814	12877.22497
815	12854.820478816	12837.0933
817	12835.7935
818	12823.74726
819	12809.08589
820	12800.53937
821	12779.60668
822	12767.15983
823	12749.95479
824	12733.73412
825	12721.3181
826	12712.33716
827	12692.55533
828	12676.73808
829	12659.20741
830	12648.70768
831	12634.44135
832	12616.26692
833	12605.41007
834	12593.41637
835	12576.80524
836	12563.669748837	12554.933358838	12545.429838839	12531.798898840	12514.554948841	12505.166784842	12482.180284843	12472.528884844	12465.728484845	12437.556584846	12429.160284847	12410.830847848	12397.911848849	12382.976849850	12374.33285851	12356.884585852	12344.177885853	12327.3338853	11886.38947
854	11870.57679
855	11868.33756
856	11843.81032
857	11828.03618
858	11815.30164
859	11811.12131
860	11786.26779
861	11765.87833
862	11751.33756
863	11739.06514
864	11737.05163
865	11724.07133
866	11709.34315
867	11701.74344
868	11701.14337
869	11696.64018
870	11685.10968
871	11683.231698872	11682.564568873	11670.654788874	11652.181848875	11637.828528876	11631.435618877	11622.706228878	11606.573638879	11597.809368880	11591.209018881	11576.456858882	11568.486768883	11556.596118884	11539.864228885	11506.477178886	11500.980368887	11486.799788888	11482.901289889	11471.59248890	11461.375898891	11454.671228892	11443.9078
893	11423.934688894	11400.643948895	11379.960298896	11362.194468897	11360.935648898	11349.162389899	11346.678219900	11339.736539901	11328.389219902	11321.1764
903	11305.34122
904	11289.0867
905	11287.5361
906	11277.62844
907	11270.2672
908	11261.48359
909	11257.34289
910	11247.43245
911	11231.31686
912	11222.32185
913	11212.36046
914	11204.30968
915	11196.17108
916	11180.67249
917	11178.58401
918	11176.11114
919	11175.12371
920	11147.59363
921	11134.62609
922	11128.37082
923	11116.26864
924	11107.99551
925	11093.44886
926	11078.04456
927	11069.81078
928	11059.71118
929	11053.58706
930	11042.32532
931	11022.88134
932	11018.31025
933	11012.933	10934	11010.934	10935	11004.935	10936	10988.936	10937	10983.937	10938	10963.938	10939	10947.939	10940	10932.940	10941	10926.941	10942	10902.942	10944	11137.943	10945	11126.944	10946	11114.945	10947	11096.946	10948	11073.947	10949	11066.948	10950	11049.949	10951	11037950	106952	11026951	10653.91626
952	10643.229
953	10633.9249
954	10614.94899
955	10608.68254
956	10590.4482
957	10574.2754
958	10567.93619
959	10554.81747
960	10545.1009
961	10536.23967
962	10513.47953
963	10497.66842
964	10481.92533
965	10477.10547
966	10462.86548
967	10455.16737
968	10440.4952
969	10418.67528
970	10403.21896
971	10378.77985
972	10370.64925
973	10350.20271
974	10344.47335
975	10319.21802
976	10310.92095
977	10299.09142
978	10280.29956
979	10275.54241
980	10258.34798
981	10245.28916
982	10241.04653
983	10240.75365
984	10233.09284
985	10229.42944
986	10215.27804
987	10207.61223
988	10192.48183
989	10171.00977
990	10156.11895
991	10147.13539
992	10136.59325
993	10120.26099
994	10105.37497
995	10093.57019
996	10088.86144
997	10081.94363
998	10069.13418
999	10055.23701
