fecha,lluvia,temperatura
1/03/2023,0,37.8
2/03/2023,0,38.2
3/03/2023,0,35.6
4/03/2023,0,39.3
5/03/2023,0,38.5
6/03/2023,0,37.7
7/03/2023,0,34.9
8/03/2023,0,37.9
9/03/2023,0,38.8
10/03/2023,0,39.8
11/03/2023,0,39.6
12/03/2023,0,39.2
13/03/2023,0,39.4
14/03/2023,5.5,37.9
15/03/2023,0,36.5
16/03/2023,0,34.8
17/03/2023,0,37.3
18/03/2023,0,35.7
19/03/2023,1.25,37.6
20/03/2023,0.25,29.6
21/03/2023,40.25,23
22/03/2023,1,21.1
23/03/2023,0,28.1
24/03/2023,17.25,28
25/03/2023,28,29.1
26/03/2023,0,25.4
27/03/2023,0,27
28/03/2023,0,29.9
29/03/2023,1.25,29
30/03/2023,0,24.5
31/03/2023,0,24.2
1/04/2021,0,26.4
2/04/2021,0,27.4
3/04/2021,0,28.8
4/04/2021,0,29.3
5/04/2021,0,30.7
6/04/2021,0,29.8
7/04/2021,0,32
8/04/2021,39,31.9
9/04/2021,17.75,21.7
10/04/2021,19.75,21.5
11/04/2021,0,22.9
12/04/2021,0,25.6
13/04/2021,0,25.8
14/04/2021,0,26.5
15/04/2021,0.25,28.9
16/04/2021,0,29.1
17/04/2021,0.25,28.4
18/04/2021,0,29
19/04/2021,0,28.2
20/04/2021,0,27.8
21/04/2021,9.25,24
22/04/2021,0.25,27.6
23/04/2021,1.25,24.7
24/04/2021,0,25
25/04/2021,0,22.1
26/04/2021,0,23.8
27/04/2021,0,24.5
28/04/2021,0.25,25.4
29/04/2021,0,24.6
30/04/2021,0.25,24.2
1/04/2023,0,23.6
2/04/2023,0,27.1
3/04/2023,0,23
4/04/2023,0.25,26.4
5/04/2023,0,27.7
6/04/2023,0,27.3
7/04/2023,0,28.5
8/04/2023,0,28
9/04/2023,0,29.1
10/04/2023,0,29.1
11/04/2023,0,31.9
12/04/2023,12.25,22.3
13/04/2023,0,19.8
14/04/2023,0,19.7
15/04/2023,0.5,22.6
16/04/2023,0,19.3
17/04/2023,0.75,22.4
18/04/2023,2,21
19/04/2023,0,23.9
20/04/2023,0,24.2
21/04/2023,0,23.7
22/04/2023,0,23.5
23/04/2023,0,22.1
24/04/2023,0,21.2
25/04/2023,3.25,24.5
26/04/2023,0,28.3
27/04/2023,0,28.1
28/04/2023,0,27.7
29/04/2023,0,28.6
30/04/2023,0,31.9
1/05/2021,0.25,27.4
2/05/2021,1.25,29.6
3/05/2021,5.75,30.1
4/05/2021,0,18.3
5/05/2021,1.25,18.6
6/05/2021,3,20.1
7/05/2021,0,19.7
8/05/2021,0,20.7
9/05/2021,0,22.6
10/05/2021,0,17.3
11/05/2021,0,19
12/05/2021,0,20.8
13/05/2021,0,22
14/05/2021,0,22.4
15/05/2021,0,21.6
16/05/2021,0,25
17/05/2021,0,22.2
18/05/2021,0,21.5
19/05/2021,0,20
20/05/2021,26.5,16
21/05/2021,17.25,13.5
22/05/2021,5.5,12.3
23/05/2021,0.25,16.5
24/05/2021,0,20.6
25/05/2021,0,22.3
26/05/2021,0,23.5
27/05/2021,0,24.2
28/05/2021,0,22.3
29/05/2021,0,17.2
30/05/2021,0,19.1
31/05/2021,0,23.4
1/05/2022,0,21.1
2/05/2022,0,18.2
3/05/2022,0,20.2
4/05/2022,0,23.5
5/05/2022,0,24.4
6/05/2022,0,25.8
7/05/2022,0,25.4
8/05/2022,0.25,26.1
9/05/2022,0,22.7
10/05/2022,0,23.8
11/05/2022,0,20.4
12/05/2022,0.25,20.6
13/05/2022,0,21.7
14/05/2022,0,21.7
15/05/2022,2,18
16/05/2022,0,15.8
17/05/2022,0,17.3
18/05/2022,0,16.2
19/05/2022,0,17.6
20/05/2022,0,21
21/05/2022,0,19.7
22/05/2022,0.25,22.8
23/05/2022,0,24.2
24/05/2022,0,23.6
25/05/2022,0,14.9
26/05/2022,0,16.7
27/05/2022,0,16.9
28/05/2022,0,15
29/05/2022,0,13.2
30/05/2022,0,14.5
31/05/2022,0,14.4
1/05/2023,0,21.5
2/05/2023,0,22.1
3/05/2023,0,20.8
4/05/2023,0,23.9
5/05/2023,51,17.5
6/05/2023,5.25,17.8
7/05/2023,0,24.4
8/05/2023,0,22.1
9/05/2023,0.25,21.3
10/05/2023,0,23.5
11/05/2023,0,19.6
12/05/2023,0,22.5
13/05/2023,0,26.7
14/05/2023,0,27.1
15/05/2023,0,27.6
16/05/2023,0,26.8
17/05/2023,0,26
18/05/2023,6.5,21.7
19/05/2023,5.75,20.2
20/05/2023,0.25,16.2
21/05/2023,5,21.1
22/05/2023,0,22.1
